"AGE","RACE_WHITE","RACE_BLACK","RACE_HISP","NTV_ENG","NTV_SP","WELFKID_1","WELFKID_2","WELFKID_3","WELFKID_4","MARRIED_1","HASCHLD","HGC","HS_D","GED_D","VOC_D","OTH_DEG","ANY_ED1","YR_WORK1","CURRJOB","GOT_ANYW","PERS_INC","EVARRST1","GUILTY2","EVJAIL2","WELF_KID","cate","Y","treat","train"
19.9013698630137,0,1,0,1,0,0,1,0,0,1,1,11,0,0,0,0,0,1,0,1,1,1,1,1,2,0.987379528843006,65.161567929969,1,1
21.3616438356164,0,1,0,1,0,1,0,0,0,1,1,9,0,0,0,0,0,0,0,1,1,0,0,0,1,23.1945307460788,15.683204644963,1,1
17.6849315068493,1,0,0,1,0,1,0,0,0,1,0,12,0,1,0,0,1,0,0,0,1,0,0,0,1,22.4798477262492,136.057893136316,0,1
18.3780821917808,0,0,1,0,1,0,1,0,0,1,0,9,0,0,0,0,1,0,0,1,1,1,1,0,2,22.3805968873639,191.209739888084,0,1
17.8849315068493,0,1,0,1,0,1,0,0,0,1,0,10,0,0,0,0,1,0,0,0,1,1,1,0,1,8.49112226729901,344.794400940512,1,1
17.7452054794521,0,0,1,1,0,0,0,0,1,1,0,10,0,0,0,0,1,1,0,1,1,1,0,0,4,12.7526807649316,0,0,1
18.5479452054795,0,0,1,1,0,0,0,0,1,1,0,11,0,0,0,0,1,1,0,0,1,0,0,0,4,13.7285568482076,307.209207655924,1,0
21.8191780821918,1,0,0,1,0,0,0,0,1,1,0,12,1,0,0,0,1,1,1,1,1,1,1,1,4,32.6039173359845,310.401913047268,1,1
18.6301369863014,0,1,0,1,0,0,1,0,0,1,1,10,0,0,0,0,1,0,0,1,1,0,0,0,2,7.4854874080936,140.991574371882,0,1
19.9753424657534,0,1,0,1,0,1,0,0,0,1,1,10,0,0,0,0,1,1,0,0,1,0,0,0,1,-7.40053774559145,190.630689258003,1,1
20.5178082191781,1,0,0,1,0,1,0,0,0,0,0,12,1,0,0,0,0,0,0,1,1,0,0,0,1,38.9592666658804,386.88874129361,1,0
16.5315068493151,1,0,0,1,0,1,0,0,0,1,0,8,0,0,0,0,1,0,0,0,1,0,0,0,1,18.1314569240169,152.593197648021,0,1
19.1315068493151,0,1,0,1,0,0,0,1,0,1,1,10,0,0,0,0,0,0,0,1,1,0,0,0,3,1.25078120697559,207.435663804915,1,1
18.0520547945205,1,0,0,1,0,0,0,1,0,1,0,10,0,0,0,0,1,1,0,1,2,0,0,0,3,12.2003654227421,197.765927428501,0,0
17.6958904109589,1,0,0,1,0,0,0,0,1,1,0,10,0,0,0,0,1,1,0,0,1,0,0,0,4,33.7110617126021,51.7919699348525,0,1
